Wonderla Amusement Park	https://media-cdn.tripadvisor.com/media/photo-s/01/f5/97/23/family.jpg	water rides,dry rides,wave pool,rain dance,fast track,thrill rides,giant wheel,nice rides,essel world,amazing rides,wonder la,adrenaline rush,family and friends,reach early,all age groups,mysore road,lots of fun,south india,fun filled,kids and adults	http://maps.google.co.in/maps?daddr=28th+km+Mysore+Road%2C+Bengaluru+%28Bangalore%29+562109%2C+India	[]	places	{}
St. Mary's Basilica	https://media-cdn.tripadvisor.com/media/photo-s/02/77/72/72/st-mary-s-basilica.jpg	beautiful church,shivaji nagar,shivajinagar bus stand,old church,walks of life,mother mary,visited st,english mass,stained glass windows,crowded area,russell market,commercial street,parking space,visit this place,nice architecture,hustle bustle,holy place,visiting bangalore,churches,faithful	http://maps.google.co.in/maps?daddr=Msgr.+F.+Noronha+Road%2C+Shivajinagar%2C+Bengaluru+%28Bangalore%29+560051%2C+India	[]	places	{}
Gavi Gangadhareshwara Temple	https://media-cdn.tripadvisor.com/media/photo-s/06/9f/ba/6c/gavi-gangadhareshwara.jpg	sun rays,lord shiva,ancient cave,makar sankranti,granite pillars,summer solstice,solid rock,mind your head,spectacular event,th january,tv channels,located place,main shrine,devotees visit,om namah,architectural marvel,south bangalore,divine place,great architecture,religious place	http://maps.google.co.in/maps?daddr=3+km+from+the+City+Market+%7C+Gavipuram%2C+Bengaluru+%28Bangalore%29%2C+India	[]	places	{}
Cauvery Handicrafts	https://media-cdn.tripadvisor.com/media/photo-s/07/c5/16/6d/i-found-this-carvingdoes.jpg	sandal wood,mg road,sandalwood products,incense sticks,higher side,authentic place,buy authentic,wooden toys,nice collection,authentic stuff,gift items,government approved,buy things,karnataka state,brigade road,this place is a must visit,art lovers,worth visit,shopping experience,decent place	http://maps.google.co.in/maps?daddr=49%2C+Mahatma+Gandhi+Rd+%7C+Halasuru%2C+Bengaluru+%28Bangalore%29%2C+India	[]	places	{}
Tipu Sultan Fort and Palace - Bangalore KR Market	https://media-cdn.tripadvisor.com/media/photo-s/01/2e/dd/fb/front-entrance-facade.jpg	history lovers,teak wood,small museum,summer residence,indian citizens,historical monument,piece of history,city market,interesting history,worth a visit,city tour,ground floor,take pictures,entry fee,south india,pillars,swords,srirangapatna,reign,mahal	http://maps.google.co.in/maps?daddr=Allbert+Victor+Road+%7C+Chamrajpet%2C+Bengaluru+%28Bangalore%29+560018%2C+India	[]	places	{}
Karnataka Chitrakala Parishat	https://media-cdn.tripadvisor.com/media/photo-s/02/77/71/4b/karnataka-chitrakala.jpg	art lovers,art school,fine art,cultural events,on display,regular exhibitions,traditional paintings,photography exhibitions,craft fairs,beautiful handicrafts,could spend hours,exhibition space,love visiting,flea market,for sale,busy bangalore,great place to visit,indian art,positive energy,open space	http://maps.google.co.in/maps?daddr=Kumarakrupa+Road%2C+Bengaluru+%28Bangalore%29%2C+India	"[""[u'10:00 - 18:00']""]"	places	{}
Bangalore Palace	https://media-cdn.tripadvisor.com/media/photo-s/01/ce/5d/91/bangalore-palace-windsor.jpg	audio tour,royal family,tudor style,central high school,worth a visit,visited bangalore,historical place,per head,paintings,castle,maharaja,headphones,garrett,narration,indians,ruling,turret,kingdom,grandeur,shooting	http://maps.google.co.in/maps?daddr=Palace+Road%2C+Bengaluru+%28Bangalore%29%2C+India	[]	places	{}
Pyramid Valley	https://media-cdn.tripadvisor.com/media/photo-s/01/3a/50/2a/pyramid-valley.jpg	kanakapura road,kings chamber,free lunch,cosmic energy,main pyramid,peaceful place,raised platform,meditation centre,free food,nice road,hustle bustle of the city,new age,spiritual books,positive energy,every month,sri sri ravi shankar,busy life,inner peace,peace of mind,an amazing experience	http://maps.google.co.in/maps?daddr=Kanakapura+Road%2C+Bengaluru+%28Bangalore%29%2C+India	"[""[u'9:00 - 18:00']""]"	places	{}
Surayanarayana Temple	https://media-cdn.tripadvisor.com/media/photo-s/02/b2/06/af/filename-dsc02853-jpg.jpg	sun god,inner ring road,shanti sagar,clean premises,marriage hall,residential area,hustling bustling,serene environment,main sanctum,divine feeling,parking space,inner peace,peace of mind,sign boards,religious place,awesome place to visit,bus stand,drinking water,domlur,cleanliness	http://maps.google.co.in/maps?daddr=K+R+Colony%2C+Domlur+Layout%2C+Airport+Road%2C+Bengaluru+%28Bangalore%29+560071%2C+India	[]	places	{}
The Heritage Centre & Aerospace Museum	https://media-cdn.tripadvisor.com/media/photo-s/02/6d/24/17/the-heritage-centre-aerospace.jpg	on display,flight simulator,fighter planes,air force,aviation industry,air crafts,small cafeteria,real planes,hall of fame,old airport road,photo gallery,life size models,inside the building,under maintenance,an indian,must visit place,entry fee,atleast hours,great place for kids,interesting place	http://maps.google.co.in/maps?daddr=Varthur+Main+Road+%7C+Airport+Road%2C+Bengaluru+%28Bangalore%29+560037%2C+India	[]	places	{}
Sankey Tank	https://media-cdn.tripadvisor.com/media/photo-s/05/5d/a2/81/sankey-tank.jpg	evening walk,morning and evening,jogging track,water body,walkers paradise,sunset point,clean lake,yoga classes,stay nearby,nice place,man made lake,huge lake,morning walkers,chaat,cool breeze,residential area,lake view,kids play area,boat ride,free entry	http://maps.google.co.in/maps?daddr=Sadasivanagar+%7C+Near+The+Vyalikaval+Circle%2C+Bengaluru+%28Bangalore%29%2C+India	[]	places	{}
